  0.142079994       3.61335613E-02   4.23864052E-02 -0.172917604    
   23.8694382       4.01308584       2.80210879E-02  -7.53876579E-04
   24.0115185       4.03720284       2.80226823E-02   2.96361453E-04
   24.1535988       4.06157541       2.80260183E-02   1.10748655E-03
   24.2956791       4.08592463       2.80291568E-02  -3.03337118E-04
   24.4377594       4.11018467       2.80316528E-02  -6.87391381E-04
   24.5798397       4.13464355       2.80354675E-02  -1.13507628E-03
   24.7219181       4.15939474       2.80412082E-02  -1.09318679E-03
   24.8639984       4.18345499       2.80422512E-02   8.88626600E-05
   25.0060787       4.20736027       2.80422512E-02   3.92320682E-04
   25.1481590       4.23103237       2.80407052E-02  -1.71552354E-04
   25.2902393       4.25431919       2.80366335E-02  -6.50381844E-04
   25.4323196       4.27735519       2.80309673E-02   4.63953795E-04
   25.5743980       4.30059958       2.80267261E-02  -8.50856828E-04
   25.7164783       4.32374668       2.80218944E-02  -1.01521891E-03
   25.8585587       4.34697580       2.80176476E-02  -3.93152441E-04
   26.0006390       4.36988354       2.80113854E-02  -1.81013055E-03
   26.1427193       4.39280844       2.80053001E-02   5.59273467E-04
   26.2847996       4.41551113       2.79978737E-02  -7.13234622E-05
   26.4268780       4.43806458       2.79895887E-02  -1.47822336E-03
   26.5689583       4.46023655       2.79789940E-02  -1.78894770E-04
   26.7110386       4.48253679       2.79693156E-02   2.35945825E-03
   26.8531189       4.50489044       2.79600695E-02  -4.62451484E-04
   26.9951992       4.52780342       2.79543754E-02   2.10522212E-05
   27.1372795       4.55090618       2.79499050E-02  -2.44146027E-03
   27.2793579       4.57344675       2.79420484E-02   9.92835732E-04
   27.4214382       4.59615135       2.79352684E-02   6.48795278E-04
   27.5635185       4.61907339       2.79298741E-02  -2.70589720E-04
   27.7055988       4.64208984       2.79251002E-02  -3.32715875E-03
   27.8476791       4.66480446       2.79185716E-02   4.97916655E-04
   27.9897594       4.68694448       2.79086865E-02  -4.11501795E-04
   28.1318398       4.70899534       2.78983712E-02  -7.02990685E-04
   28.2739182       4.73143101       2.78904326E-02   6.93034614E-04
   28.4159985       4.75419188       2.78844796E-02  -1.79338502E-04
   28.5580788       4.77738523       2.78811064E-02  -7.97161832E-04
   28.7001591       4.80001497       2.78744958E-02  -4.21709788E-04
   28.8422394       4.82271671       2.78683677E-02  -2.37612776E-03
   28.9843197       4.84497595       2.78597530E-02  -4.64252575E-04
   29.1263981       4.86719275       2.78509818E-02   1.72132696E-03
   29.2684784       4.88954258       2.78430525E-02   6.85135194E-04
   29.4105587       4.91193485       2.78354399E-02   2.69754860E-03
   29.5526390       4.93443823       2.78285276E-02   5.59895183E-04
   29.6947193       4.95700645       2.78220419E-02  -2.61897850E-03
   29.8367996       4.97954893       2.78154779E-02  -1.22782623E-03
   29.9788780       5.00171185       2.78068669E-02   2.87900073E-03
   30.1209583       5.02400494       2.77990531E-02  -2.75875372E-03
   30.2630386       5.04637718       2.77917515E-02   1.29140285E-03
   30.4051189       5.06888294       2.77852509E-02  -1.53463159E-03
   30.5471992       5.09092951       2.77763009E-02   2.28494289E-03
   30.6892796       5.11298609       2.77674925E-02  -3.16605018E-03
   30.8313580       5.13543892       2.77609080E-02   3.19165294E-03
   30.9734383       5.15810871       2.77555473E-02  -1.83952122E-03
   31.1155186       5.18067741       2.77496967E-02   2.73126480E-03
   31.2575989       5.20368385       2.77462341E-02  -7.24562095E-04
   31.3996792       5.22702885       2.77445987E-02  -3.74588417E-03
   31.5417595       5.24991274       2.77405418E-02  -9.14396485E-04
   31.6838379       5.27220058       2.77333856E-02   8.90312251E-04
   31.8259182       5.29406214       2.77240612E-02   2.47993413E-03
   31.9679985       5.31622410       2.77163852E-02  -1.83630432E-03
   32.1100769       5.33864021       2.77100969E-02  -5.69289259E-04
   32.2521591       5.36114216       2.77043059E-02   1.61112659E-03
   32.3942375       5.38404417       2.77006291E-02  -4.83702868E-04
   32.5363197       5.40709972       2.76977625E-02  -1.82572403E-03
   32.6783981       5.43036842       2.76960153E-02   2.68275966E-04
   32.8204803       5.45305204       2.76913065E-02  -1.07822812E-03
   32.9625587       5.47576761       2.76868045E-02   2.00624298E-03
   33.1046371       5.49868155       2.76833400E-02   1.76652079E-03
   33.2467194       5.52194738       2.76816655E-02  -2.22676713E-03
   33.3887978       5.54538012       2.76808403E-02  -3.71704868E-04
   33.5308800       5.56818008       2.76768766E-02  -1.60491240E-04
   33.6729584       5.59069347       2.76715290E-02  -3.44281958E-04
   33.8150368       5.61360645       2.76681948E-02   1.32809265E-03
   33.9571190       5.63685417       2.76665315E-02  -2.05074030E-04
   34.0991974       5.65981007       2.76634563E-02  -1.89847822E-04
   34.2412796       5.68265009       2.76598409E-02  -1.26587076E-03
   34.3833580       5.70551062       2.76563577E-02   5.11032762E-04
   34.5254402       5.72885036       2.76552122E-02  -9.23214902E-05
   34.6675186       5.75190830       2.76527256E-02  -5.47973730E-04
   34.8095970       5.77449608       2.76480094E-02   2.75918774E-05
   34.9516792       5.79688025       2.76423544E-02  -4.57030168E-04
   35.0937576       5.81934071       2.76371129E-02  -7.28213272E-05
   35.2358398       5.84150314       2.76304986E-02  -2.18081186E-04
   35.3779182       5.86384439       2.76247840E-02   1.21786364E-03
   35.5199966       5.88603735       2.76184212E-02  -1.54545030E-03
   35.6620789       5.90828705       2.76123695E-02   3.14289099E-03
   35.8041573       5.93046570       2.76060384E-02  -1.50756794E-03
   35.9462395       5.95270061       2.76000164E-02  -5.54502039E-05
   36.0883179       5.97500372       2.75943577E-02  -4.99306712E-04
   36.2304001       5.99701071       2.75873784E-02  -1.52583199E-03
   36.3724785       6.01893425       2.75800768E-02  -2.68062053E-04
